Model,DPO4054
Firmware Version,2.68

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.4
Horizontal Delay,0
Sample Interval,4e-05
Record Length,100000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.05
Vertical Position,-0.08
,
,
,
Label,
TIME,CH1
-1.97424e+00,nan
-1.97420e+00,nan
-1.97416e+00,nan
-1.97412e+00,nan
-1.97408e+00,nan
-1.97404e+00,nan
-1.97400e+00,nan
-1.97396e+00,nan
-1.97392e+00,nan
-1.97388e+00,nan
-1.97384e+00,nan
-1.97380e+00,nan
-1.97376e+00,nan
-1.97372e+00,nan
-1.97368e+00,nan
-1.97364e+00,nan
-1.97360e+00,nan
-1.97356e+00,nan
-1.97352e+00,nan
-1.97348e+00,nan
-1.97344e+00,nan
-1.97340e+00,nan
-1.97336e+00,nan
-1.97332e+00,nan
-1.97328e+00,nan
-1.97324e+00,nan
-1.97320e+00,nan
-1.97316e+00,nan
-1.97312e+00,nan
-1.97308e+00,nan
-1.97304e+00,nan
-1.97300e+00,nan
-1.97296e+00,nan
-1.97292e+00,nan
-1.97288e+00,nan
-1.97284e+00,nan
-1.97280e+00,nan
-1.97276e+00,nan
-1.97272e+00,nan
-1.97268e+00,nan
-1.97264e+00,nan
-1.97260e+00,nan
-1.97256e+00,nan
-1.97252e+00,nan
-1.97248e+00,nan
-1.97244e+00,nan
-1.97240e+00,nan
-1.97236e+00,nan
-1.97232e+00,nan
-1.97228e+00,nan
-1.97224e+00,nan
-1.97220e+00,nan
-1.97216e+00,nan
-1.97212e+00,nan
-1.97208e+00,nan
-1.97204e+00,nan
-1.97200e+00,nan
-1.97196e+00,nan
-1.97192e+00,nan
-1.97188e+00,nan
-1.97184e+00,nan
-1.97180e+00,nan
-1.97176e+00,nan
-1.97172e+00,nan
-1.97168e+00,nan
-1.97164e+00,nan
-1.97160e+00,nan
-1.97156e+00,nan
-1.97152e+00,nan
-1.97148e+00,nan
-1.97144e+00,nan
-1.97140e+00,nan
-1.97136e+00,nan
-1.97132e+00,nan
-1.97128e+00,nan
-1.97124e+00,nan
-1.97120e+00,nan
-1.97116e+00,nan
-1.97112e+00,nan
-1.97108e+00,nan
-1.97104e+00,nan
-1.97100e+00,nan
-1.97096e+00,nan
-1.97092e+00,nan
-1.97088e+00,nan
-1.97084e+00,nan
-1.97080e+00,nan
-1.97076e+00,nan
-1.97072e+00,nan
-1.97068e+00,nan
-1.97064e+00,nan
-1.97060e+00,nan
-1.97056e+00,nan
-1.97052e+00,nan
-1.97048e+00,nan
-1.97044e+00,nan
-1.97040e+00,nan
-1.97036e+00,nan
-1.97032e+00,nan
-1.97028e+00,nan
-1.97024e+00,nan
-1.97020e+00,nan
-1.97016e+00,nan
-1.97012e+00,nan
-1.97008e+00,nan
-1.97004e+00,nan
-1.97000e+00,nan
-1.96996e+00,nan
-1.96992e+00,nan
-1.96988e+00,nan
-1.96984e+00,nan
-1.96980e+00,nan
-1.96976e+00,nan
-1.96972e+00,nan
-1.96968e+00,nan
-1.96964e+00,nan
